t,mag_x,mag_y,mag_z,yaw_mag_deg,yaw_filter_deg,accepted
690.7544,-14.7,-106.5,-314.7,92.12,92.28,1
690.8924,-20.0,-111.4,-312.7,94.73,92.35,1
691.0270,-14.7,-109.5,-315.7,92.17,92.35,1
691.1638,-17.9,-107.5,-318.6,93.75,92.37,1
691.3001,-15.8,-104.6,-311.8,92.90,92.39,1
691.4359,-14.7,-105.6,-313.7,92.29,92.38,1
691.5698,-12.6,-102.6,-312.7,91.24,92.35,1
691.7057,-15.8,-105.6,-314.7,92.80,92.35,1
691.8412,-16.8,-106.5,-313.7,93.65,92.37,1
691.9769,-18.9,-109.5,-312.7,94.67,92.42,1
692.1131,-16.8,-105.6,-316.6,93.59,92.45,1
692.2486,-17.9,-105.6,-312.7,94.19,92.47,1
692.3803,-14.7,-105.6,-314.7,92.60,92.46,1
692.5172,-15.8,-107.5,-314.7,93.04,92.47,1
692.6517,-17.9,-105.6,-315.7,94.07,92.49,1
692.7879,-15.8,-105.6,-314.7,92.91,92.50,1
692.9242,-15.8,-107.5,-313.7,92.86,92.50,1
693.0593,-15.8,-106.5,-315.7,92.81,92.49,1
693.1951,-16.8,-109.5,-314.7,93.40,92.50,1
693.3290,-15.8,-104.6,-311.8,93.06,92.52,1
693.4639,-15.8,-108.5,-313.7,92.81,92.52,1
693.5993,-15.8,-109.5,-311.8,92.77,92.53,1
693.7329,-15.8,-104.6,-309.8,92.86,92.54,1
693.8680,-14.7,-109.5,-311.8,91.95,92.52,1
694.0058,-15.8,-106.5,-317.6,92.36,92.50,1
694.1432,-18.9,-107.5,-313.7,94.11,92.54,1
694.2758,-9.5,-106.5,-312.7,89.39,92.47,1
694.4123,-18.9,-107.5,-314.7,94.10,92.51,1
694.5485,-15.8,-111.4,-309.8,92.41,92.50,1
694.6820,-15.8,-108.5,-315.7,92.35,92.54,1
694.8188,-13.7,-110.4,-314.7,91.20,92.48,1
694.9574,-17.9,-106.5,-315.7,93.50,92.51,1
695.0912,-17.9,-107.5,-308.8,93.52,92.53,1
695.2294,-17.9,-105.6,-318.6,93.63,92.57,1
695.3655,-16.8,-108.5,-311.8,93.10,92.58,1
695.5008,-15.8,-106.5,-316.6,92.55,92.58,1
695.6348,-15.8,-110.4,-316.6,92.48,92.58,1
695.7722,-15.8,-107.5,-318.6,92.36,92.58,1
695.9098,-11.6,-107.5,-311.8,90.66,92.54,1
696.0424,-17.9,-108.5,-311.8,93.81,92.56,1
696.1789,-14.7,-108.5,-312.7,91.89,92.55,1
696.3153,-18.9,-107.5,-312.7,93.96,92.58,1
696.4473,-15.8,-101.6,-315.7,92.34,92.57,1
696.5832,-15.8,-105.6,-315.7,92.26,92.56,1
696.7180,-15.8,-104.6,-315.7,92.28,92.54,1
696.8560,-15.8,-105.6,-311.8,92.33,92.55,1
696.9787,-15.8,-108.5,-314.7,92.23,92.53,1
697.1140,-14.7,-105.6,-308.8,91.84,92.51,1
697.2507,-14.7,-105.6,-311.8,92.14,92.50,1
697.3859,-13.7,-108.5,-314.7,91.59,92.48,1
697.5208,-20.0,-104.6,-308.8,95.21,92.53,1
697.6575,-15.8,-108.5,-315.7,92.74,92.54,1
697.7918,-13.7,-106.5,-316.6,91.99,92.53,1
697.9302,-15.8,-106.5,-315.7,93.11,92.54,1
698.0652,-11.6,-106.5,-314.7,90.96,92.51,1
698.1993,-16.8,-109.5,-311.8,93.58,92.52,1
698.3341,-16.8,-107.5,-313.7,93.59,92.54,1
698.4718,-14.7,-106.5,-310.8,92.41,92.54,1
698.6076,-14.7,-109.5,-313.7,92.26,92.53,1
698.7402,-13.7,-110.4,-315.7,91.71,92.52,1
698.8774,-18.9,-108.5,-312.7,94.41,92.56,1
699.0172,-14.7,-109.5,-313.7,92.21,92.55,1
699.1500,-14.7,-111.4,-312.7,92.13,92.57,1
699.2867,-15.8,-106.5,-314.7,92.89,92.58,1
699.4230,-18.9,-108.5,-313.7,94.48,92.60,1
699.5567,-18.9,-110.4,-314.7,94.36,92.63,1
699.6929,-13.7,-109.5,-315.7,91.80,92.61,1
699.8299,-15.8,-108.5,-311.8,93.02,92.57,1
699.9675,-16.8,-107.5,-313.7,93.53,92.60,1
700.1011,-20.0,-108.5,-316.6,95.06,92.64,1
700.2376,-15.8,-107.5,-310.8,93.00,92.65,1
700.3725,-15.8,-105.6,-313.7,92.93,92.66,1
700.5066,-18.9,-108.5,-313.7,94.44,92.68,1
700.6440,-13.7,-106.5,-312.7,91.77,92.67,1
700.7791,-15.8,-106.5,-315.7,92.90,92.67,1
700.9158,-16.8,-105.6,-311.8,93.50,92.68,1
701.0389,-17.9,-107.5,-310.8,94.01,92.70,1
701.1750,-18.9,-107.5,-314.7,94.42,92.73,1
701.3090,-15.8,-107.5,-313.7,92.66,92.73,1
701.4451,-15.8,-108.5,-308.8,92.31,92.73,1
701.5798,-17.9,-109.5,-311.8,93.15,92.73,1
701.7155,-14.7,-109.5,-317.6,91.59,92.70,1
701.8501,-18.9,-105.6,-313.7,93.94,92.74,1
701.9861,-17.9,-105.6,-317.6,93.21,92.75,1
702.1223,-14.7,-105.6,-310.8,91.69,92.73,1
702.2571,-15.8,-112.4,-316.6,92.03,92.72,1
702.3918,-15.8,-108.5,-315.7,92.18,92.72,1
702.5282,-16.8,-109.5,-311.8,92.77,92.71,1
702.6620,-16.8,-106.5,-308.8,92.98,92.70,1
702.7982,-15.8,-105.6,-313.7,92.59,92.69,1
702.9373,-11.6,-106.5,-306.9,90.53,92.66,1
703.0736,-14.7,-107.5,-313.7,91.98,92.65,1
703.2065,-15.8,-108.5,-311.8,92.41,92.64,1
703.3440,-12.6,-106.5,-314.7,90.79,92.62,1
703.4800,-17.9,-106.5,-312.7,93.46,92.63,1
703.6126,-17.9,-111.4,-311.8,93.41,92.65,1
703.7477,-12.6,-108.5,-309.8,91.12,92.63,1
703.8858,-15.8,-108.5,-311.8,92.69,92.63,1
704.0207,-15.8,-108.5,-314.7,92.72,92.63,1
704.1577,-13.7,-105.6,-312.7,91.74,92.61,1
704.2944,-14.7,-105.6,-309.8,92.43,92.60,1
704.4309,-15.8,-104.6,-316.6,92.72,92.60,1
704.5629,-20.0,-106.5,-311.8,94.91,92.63,1
704.6990,-12.6,-109.5,-314.7,91.05,92.60,1
704.8346,-18.9,-104.6,-313.7,94.29,92.63,1
704.9705,-15.8,-110.4,-311.8,92.60,92.63,1
705.1070,-14.7,-106.5,-315.7,92.02,92.63,1
705.2425,-15.8,-109.5,-315.7,92.52,92.64,1
705.3767,-15.8,-107.5,-311.8,92.63,92.64,1
705.5139,-12.6,-111.4,-311.8,91.08,92.64,1
705.6488,-14.7,-108.5,-313.7,92.25,92.64,1
705.7858,-16.8,-106.5,-315.7,93.29,92.65,1
705.9196,-14.7,-104.6,-313.7,92.27,92.67,1
706.0445,-15.8,-107.5,-314.7,92.84,92.68,1
706.1789,-15.8,-108.5,-314.7,92.65,92.69,1
706.3129,-15.8,-110.4,-313.7,92.91,92.70,1
706.4479,-15.8,-106.5,-313.7,92.89,92.70,1
706.5861,-18.9,-106.5,-313.7,94.52,92.72,1
706.7204,-14.7,-107.5,-311.8,92.40,92.72,1
706.8559,-14.7,-110.4,-317.6,92.18,92.70,1
706.9819,-17.9,-104.6,-316.6,93.91,92.71,1
707.1156,-14.7,-110.4,-312.7,92.18,92.69,1
707.2506,-15.8,-104.6,-316.6,92.65,92.69,1
707.3872,-15.8,-104.6,-312.7,92.69,92.68,1
707.5217,-15.8,-110.4,-314.7,92.40,92.67,1
707.6591,-15.8,-107.5,-314.7,92.20,92.66,1
707.7943,-15.8,-110.4,-312.7,92.24,92.65,1
707.9336,-15.8,-106.5,-313.7,92.34,92.65,1
708.0544,-14.7,-108.5,-311.8,91.78,92.63,1
708.1897,-13.7,-104.6,-310.8,91.55,92.62,1
708.3247,-10.5,-106.5,-311.8,89.86,92.66,1
708.4591,-15.8,-103.6,-315.7,92.87,92.65,1
708.5955,-17.9,-108.5,-313.7,93.89,92.66,1
708.7318,-16.8,-108.5,-314.7,93.32,92.68,1
708.8668,-15.8,-103.6,-313.7,92.92,92.71,1
708.9923,-13.7,-106.5,-313.7,91.77,92.70,1
709.1277,-16.8,-104.6,-310.8,93.47,92.70,1
709.2619,-14.7,-110.4,-315.7,92.40,92.69,1
709.3984,-16.8,-106.5,-314.7,93.64,92.70,1
709.5334,-20.0,-109.5,-310.8,95.07,92.73,1
709.6676,-13.7,-108.5,-311.8,91.89,92.71,1
709.8056,-18.9,-108.5,-312.7,94.76,92.74,1
709.9433,-15.8,-105.6,-317.6,93.11,92.75,1
710.0782,-15.8,-107.5,-316.6,93.28,92.75,1
710.2129,-16.8,-110.4,-313.7,93.88,92.76,1
710.3492,-17.9,-107.5,-313.7,94.71,92.79,1
710.4859,-16.8,-107.5,-315.7,94.05,92.81,1
710.6198,-16.8,-111.4,-309.8,93.97,92.84,1
710.7552,-18.9,-110.4,-310.8,94.96,92.88,1
710.8920,-17.9,-108.5,-316.6,94.33,92.89,1
711.0284,-17.9,-103.6,-311.8,94.60,92.93,1
711.1635,-14.7,-106.5,-310.8,93.17,92.93,1
711.3010,-15.8,-106.5,-312.7,93.52,92.94,1
