t,dt,ax,ay,az,gx,gy,gz
671.3671,0.01387,-0.35169,0.09244,-9.72821,-0.106052,-0.005063,0.003997
671.3809,0.01379,-0.38492,0.18088,-9.79437,-0.104720,0.002132,0.001998
671.3947,0.01386,-0.32320,0.09961,-9.74239,-0.104453,0.003730,0.003198
671.4085,0.01377,-0.34694,0.19522,-9.78256,-0.110315,0.003331,0.004930
671.4557,0.04721,-0.32795,0.10678,-9.74948,-0.106052,0.001466,0.002531
671.4728,0.01711,-0.37543,0.16176,-9.75656,-0.108317,0.001599,0.004130
671.4864,0.01360,-0.33745,0.16893,-9.83690,-0.107118,0.002132,0.002798
671.4999,0.01348,-0.32083,0.10678,-9.76365,-0.104187,0.000799,0.000799
671.5134,0.01349,-0.36119,0.14024,-9.91961,-0.107518,-0.000666,0.005462
671.5272,0.01383,-0.25199,0.13307,-9.66914,-0.113646,0.034107,0.002265
671.5410,0.01378,-0.35406,0.19044,-9.80146,-0.105786,0.003064,0.002931
671.5883,0.04734,-0.31371,0.06615,-9.92433,-0.107917,0.003198,0.003997
671.6066,0.01828,-0.37068,0.16415,-9.66914,-0.109516,0.000666,0.004397
671.6206,0.01395,-0.33507,0.14263,-9.84635,-0.104187,0.001732,0.002398
671.6344,0.01386,-0.32795,0.11873,-9.76129,-0.107384,-0.002265,0.004130
671.6482,0.01378,-0.26861,0.14980,-9.91488,-0.107118,-0.001066,0.003997
671.6620,0.01384,-0.35881,0.14741,-9.69985,-0.110715,-0.001066,0.003864
671.6759,0.01383,-0.38018,0.15458,-9.81564,-0.104187,0.002132,0.004130
671.7233,0.04745,-0.33270,0.19044,-9.79437,-0.104720,-0.033974,0.004663
671.7410,0.01770,-0.33982,0.17371,-9.75420,-0.104453,0.000933,0.033708
671.7549,0.01394,-0.33033,0.12112,-9.75656,-0.068481,-0.002531,0.005995
671.7688,0.01385,-0.30421,0.19283,-9.78492,-0.109516,-0.001466,0.003464
671.7828,0.01403,-0.36356,0.13068,-9.78728,-0.111381,-0.000400,0.002931
671.7967,0.01388,-0.28522,0.10678,-9.72112,-0.106185,0.004263,0.003997
671.8106,0.01386,-0.32558,0.11395,-9.92906,-0.101922,-0.002132,0.003597
671.8578,0.04728,-0.28285,0.20239,-9.75420,-0.106585,-0.001332,0.004930
671.8757,0.01782,-0.34694,0.15937,-9.80146,-0.105786,-0.033308,0.034107
671.8895,0.01380,-0.35881,0.14024,-9.81564,-0.108717,-0.001066,0.001066
671.9049,0.01547,-0.34457,0.17132,-9.77547,-0.105519,-0.002265,0.005596
671.9186,0.01366,-0.28760,0.20478,-9.78492,-0.105919,-0.001066,0.004130
671.9324,0.01384,-0.29709,0.12351,-9.72348,-0.103920,0.001998,0.005729
671.9463,0.01392,-0.38967,0.10678,-9.73057,-0.106452,0.001732,0.003198
671.9938,0.04744,-0.31608,0.15219,-9.74711,-0.103254,0.001466,0.001332
672.0114,0.01764,-0.35169,0.09961,-9.77074,-0.105119,0.001466,0.005196
672.0255,0.01405,-0.33982,0.09722,-9.78019,-0.108051,0.033574,0.004796
672.0419,0.01643,-0.29947,0.17610,-9.75893,-0.101256,-0.001865,0.003064
672.0558,0.01392,-0.28997,0.21195,-9.85344,-0.103254,0.003064,0.006662
672.0698,0.01395,-0.33745,0.10917,-9.83454,-0.108583,-0.001466,0.003730
672.0837,0.01386,-0.31371,0.10439,-9.70931,-0.107251,0.001332,0.003198
672.1312,0.04752,-0.32795,0.11156,-9.67386,-0.110049,-0.003730,0.007194
672.1488,0.01761,-0.28760,0.14741,-9.80382,-0.108983,-0.000266,0.002931
672.1627,0.01394,-0.28048,0.21195,-9.77310,-0.101789,-0.033441,0.000133
672.1766,0.01384,-0.31846,0.11395,-9.77783,-0.105652,-0.000266,0.002531
672.1905,0.01392,-0.30421,0.15458,-9.81091,-0.105786,0.005596,0.002265
672.2043,0.01378,-0.31608,0.11873,-9.82273,-0.104587,0.000666,0.002798
672.2205,0.01626,-0.40154,0.29322,-9.73530,-0.106718,0.001066,0.005196
672.2677,0.04721,-0.24487,0.13546,-9.88652,-0.105519,0.003064,0.007727
672.2847,0.01700,-0.33270,0.16176,-9.92669,-0.106052,0.033974,0.006795
672.2983,0.01357,-0.33270,0.11156,-9.79673,-0.105119,0.004263,0.007061
672.3118,0.01347,-0.30659,0.16654,-9.79910,-0.102455,0.001732,0.006662
